data1;tiempo1;tiempo2;data2;casos_con_sintomas;casos_sin_sintomas;uci;pcr;casos_activos;fallecidos;fim_cuarentena;region;poblacion_region;codigo_region;id;comuna;segunda_cuarentena;codigo_comuna_c;ingreso_per_capita;escolaridad;pobreza;alcantarillado;indice_desarrollo_humano;porcentaje_rural;porcentaje_sector_primario;poblacion;capital_regional;capital_provincial;aeropuerto;puerto;poblacion_edad_15_a_64;poblacion_edad_0_a_4;poblacion_edad_5_a_9;poblacion_edad_10_a_14;poblacion_edad_15_a_19;poblacion_edad_20_a_24;poblacion_edad_25_a_29;poblacion_edad_30_a_34;poblacion_edad_35_a_39;poblacion_edad_40_a_44;poblacion_edad_45_a_49;poblacion_edad_50_a_54;poblacion_edad_55_a_59;poblacion_edad_60_a_64;poblacion_edad_65_a_69;poblacion_edad_70_a_74;poblacion_edad_75_a_79;poblacion_edad_80_y_mas;idse;densidad_poblacional;hacinamiento;inmigrantes;ips;indice_ruralidad
15-05-2020;0;7;22-05-2020;68;13;16;289;151;NA;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
22-05-2020;7;14;29-05-2020;88;14;17;378;250;NA;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
29-05-2020;14;21;05-06-2020;105;17;27;393;275;NA;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
05-06-2020;21;28;12-06-2020;108;19;42;398;283;NA;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
12-06-2020;28;35;19-06-2020;103;20;41;385;241;13;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
19-06-2020;35;42;26-06-2020;82;16;37;378;241;20;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
26-06-2020;42;49;03-07-2020;70;16;31;434;219;25;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
03-07-2020;49;56;10-07-2020;62;26;26;549;205;30;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
10-07-2020;56;63;17-07-2020;45;12;27;419;151;34;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
17-07-2020;63;70;24-07-2020;59;14;31;502;132;35;0;Tarapaca;382773;1;1;Alto Hospicio;0;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
