data1;tiempo1;tiempo2;data2;casos_con_sintomas;casos_sin_sintomas;uci;pcr;casos_activos;fallecidos;fim_cuarentena;region;poblacion_region;codigo_region;segunda_cuarentena;id;comuna;codigo_comuna_c;ingreso_per_capita;escolaridad;pobreza;alcantarillado;indice_desarrollo_humano;porcentaje_rural;porcentaje_sector_primario;poblacion;capital_regional;capital_provincial;aeropuerto;puerto;poblacion_edad_15_a_64;poblacion_edad_0_a_4;poblacion_edad_5_a_9;poblacion_edad_10_a_14;poblacion_edad_15_a_19;poblacion_edad_20_a_24;poblacion_edad_25_a_29;poblacion_edad_30_a_34;poblacion_edad_35_a_39;poblacion_edad_40_a_44;poblacion_edad_45_a_49;poblacion_edad_50_a_54;poblacion_edad_55_a_59;poblacion_edad_60_a_64;poblacion_edad_65_a_69;poblacion_edad_70_a_74;poblacion_edad_75_a_79;poblacion_edad_80_y_mas;idse;densidad_poblacional;hacinamiento;inmigrantes;ips;indice_ruralidad
02-10-2020;140;141;03-10-2020;17;9;8;803;96;57;1;Tarapaca;382773;1;0;1;Alto Hospicio;1107;166.3;10.1;20.9;98.4;0.555;0.022985006;0.040879719;129999;0;0;0;0;72866;8341;10637;9549;9603;9907;10004;8604;7795;6976;6453;6019;4493;3220;2003;1274;653;598;577;227.59;3.27;12129;NA;35.67
19-12-2020;28;30;21-12-2020;94;84;30;4239;61;9;1;Los Lagos;891440;10;0;2;Ancud;10202;194.9;9.4;10.8;75.4;0.546;0.275089123;0.156145399;42458;0;0;0;0;25933;1824;2670;2783;2719;2216;2770;2570;2572;2764;2828;2994;2512;2059;1602;1375;1023;1047;593;24.21;2.3;207;NA;49.79
14-05-2020;14;15;15-05-2020;27;8;17;466;12;NA;1;La Araucania;1014343;9;0;3;Angol;9201;159.2;9.5;26.7;90.6;0.472;0.081690511;0.131285295;56058;0;1;0;0;34843;3001;3898;3719;3626;3392;4084;3733;3504;3541;3548;3614;3287;2741;2089;1697;1326;1498;539;46.82;2.74;141;NA;42.14
24-12-2020;14;15;25-12-2020;118;64;37;1511;78;31;0;La Araucania;1014343;9;1;4;Angol_2;9201;159.2;9.5;26.7;90.6;0.472;0.081690511;0.131285295;56058;0;1;0;0;34843;3001;3898;3719;3626;3392;4084;3733;3504;3541;3548;3614;3287;2741;2089;1697;1326;1498;539;46.82;2.74;141;NA;42.14
26-05-2020;21;24;29-05-2020;66;10;50;233;239;NA;1;Antofagasta;691854;2;0;5;Antofagasta;2101;256.5;11;7.1;99;0.627;0.021468858;0.097157491;425725;1;0;1;1;255964;20067;26604;24419;27230;33083;34132;29632;27643;26827;23376;21378;18923;14854;10224;7291;4968;5301;714;13.87;3.22;36000;NA;38.59
22-09-2020;91;97;28-09-2020;36;22;40;1697;331;213;1;Antofagasta;691854;2;1;6;Antofagasta_2;2101;256.5;11;7.1;99;0.627;0.021468858;0.097157491;425725;1;0;1;1;255964;20067;26604;24419;27230;33083;34132;29632;27643;26827;23376;21378;18923;14854;10224;7291;4968;5301;714;13.87;3.22;36000;NA;38.59
24-12-2020;14;15;25-12-2020;342;87;116;6711;103;21;0;Biobio;1663696;8;0;7;Arauco;8202;133.7;9.4;20.3;85.4;0.51;0.246490333;0.137979884;38679;0;0;0;0;24171;1962;2684;2628;2634;2367;2839;2525;2468;2517;2626;2578;2163;1784;1323;1007;742;810;520;40.31;2.74;25;NA;47.96
14-05-2020;28;29;15-05-2020;5;0;7;124;49;NA;1;Arica y Parinacota;252110;15;0;8;Arica;15101;228.7;10.9;15.7;91.2;0.601;0.073566614;0.085009084;247552;1;0;1;1;148234;12572;17044;15726;17176;18043;18174;16498;15050;14750;13820;13323;11657;10173;8080;6535;4260;4470;643;51.58;3.05;15967;NA;39.69
03-11-2020;112;118;09-11-2020;19;14;12;720;252;197;1;Arica y Parinacota;252110;15;1;9;Arica_2;15101;228.7;10.9;15.7;91.2;0.601;0.073566614;0.085009084;247552;1;0;1;1;148234;12572;17044;15726;17176;18043;18174;16498;15050;14750;13820;13323;11657;10173;8080;6535;4260;4470;643;51.58;3.05;15967;NA;39.69
25-09-2020;133;136;28-09-2020;301;122;418;12989;92;99;1;Metropolitana;8125072;13;0;10;Buin;13402;195.1;10;12.1;94.5;0.581;0.141832447;0.12746545;109641;0;0;0;0;66360;5832;7451;6878;7064;7351;8365;7811;7358;6757;6413;6120;5356;3894;2895;2225;1460;1623;639;505.19;3.1;1478;75.77;43.26
24-12-2020;14;15;25-12-2020;74;23;10;819;16;0;0;Magallanes;178362;12;0;11;Cabo de Hornos;12201;287.7;11.7;3.8;99;0.559;0.091614154;0.105055292;1983;0;1;0;0;1412;123;190;161;87;146;221;252;210;186;126;110;90;53;33;18;6;7;781;0.13;2.71;0;NA;41.31
18-09-2020;98;101;21-09-2020;22;15;39;1743;101;237;1;Antofagasta;691854;2;0;12;Calama;2201;269.3;10.9;8.5;98.9;0.625;0.043709384;0.127283007;190336;0;1;1;0;116291;9826;12583;11909;11896;12604;15258;14404;13728;12820;11052;10606;8788;6545;4266;3006;1734;1813;717;12.25;2.89;18097;NA;40.74
19-12-2020;49;53;23-12-2020;106;74;31;3710;55;11;1;Los Lagos;891440;10;0;13;Calbuco;10102;153.3;7.9;12;49.3;0.495;0.52932176;0.200691792;36744;0;0;0;0;22292;1706;2487;2623;2290;2372;2563;2210;2072;2339;2622;2448;1947;1537;1320;1116;822;966;474;62.56;2.5;114;NA;60.3
28-09-2020;63;68;03-10-2020;88;28;90;2863;42;53;1;Valparaiso;1960170;5;0;14;Calera;5502;141.1;9.6;20.9;96.2;0.509;0.037306642;0.109017035;53591;0;0;0;0;33504;2570;3680;3462;3817;3754;3841;3469;3076;3219;3041;3454;3144;2730;2069;1705;1290;1325;575;893.63;2.79;753;NA;38.32
28-08-2020;63;66;31-08-2020;320;205;524;12168;24;10;1;Metropolitana;8125072;13;0;15;Calera de Tango;13403;246;9.6;6.2;93.7;0.626;0.545329238;0.090227443;28525;0;0;0;0;17442;1312;1815;1854;1951;2151;2048;1573;1629;1856;1763;1872;1636;1209;871;631;380;457;669;389.58;3.34;439;64.34;55.14
19-12-2020;63;69;25-12-2020;298;76;110;5439;116;18;0;Biobio;1663696;8;0;16;Canete;8203;107.4;8.3;27.2;71.4;0.398;0.435561861;0.139762139;37003;0;0;0;0;22177;2067;2749;2736;2407;2181;2507;2343;2398;2378;2296;2196;1984;1664;1375;1046;729;847;405;33.99;2.69;86;NA;54.36
14-11-2020;42;44;16-11-2020;64;39;49;1808;12;6;1;La Araucania;1014343;9;0;17;Carahue;9102;105;8.1;30.5;46;0.353;0.459788856;0.248143147;25486;0;0;0;0;15312;1420;1821;1874;1801;1456;1663;1497;1468;1516;1633;1629;1507;1331;1085;918;728;759;342;19.06;2.56;16;NA;60.27
25-08-2020;112;118;31-08-2020;294;178;541;10690;42;86;1;Metropolitana;8125072;13;0;18;Cerrillos;13102;209;10.3;9.5;97.3;0.609;0;0.007406236;88956;0;0;0;0;53650;4441;5492;5204;5861;7171;6456;5694;5398;5627;5275;5396;4510;3602;2963;2550;1862;1958;677;5288.7;3.29;3620;64.36;25.56
